input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00583.dcm,dataset\bone_masks\mask00583.dcm,5540,255899,493,212,0.9631432545201669,0.9182827780540361,0.0019228369059877063,0.0368567454798331,0.2689361572265625,0.8871096877502002,0.9401781926177344
dataset\inputs\input00584.dcm,dataset\bone_masks\mask00584.dcm,5396,255973,480,295,0.9481637673519593,0.9183117767188563,0.0018716879896121317,0.05183623264804076,0.2956390380859375,0.8744125749473344,0.9329990490187603
dataset\inputs\input00585.dcm,dataset\bone_masks\mask00585.dcm,5315,256144,390,295,0.9474153297682709,0.9316389132340053,0.0015202663194742218,0.05258467023172905,0.2613067626953125,0.8858333333333334,0.9394608926204154
dataset\inputs\input00586.dcm,dataset\bone_masks\mask00586.dcm,5474,255803,432,435,0.9263834828228127,0.9268540467321368,0.001685952348430152,0.07361651717718734,0.3307342529296875,0.8632707774798928,0.9266187050359712
dataset\inputs\input00587.dcm,dataset\bone_masks\mask00587.dcm,5638,255507,443,556,0.9102357119793348,0.9271501397796416,0.001730806798202774,0.08976428802066516,0.3810882568359375,0.8494801868313998,0.9186150712830957
dataset\inputs\input00588.dcm,dataset\bone_masks\mask00588.dcm,5724,255427,567,426,0.9307317073170732,0.9098712446351931,0.002214895661617069,0.06926829268292684,0.3787994384765625,0.8521661456007147,0.9201832650108512
dataset\inputs\input00589.dcm,dataset\bone_masks\mask00589.dcm,5521,255679,578,366,0.9378291149991507,0.9052303656337104,0.0022555481411239498,0.06217088500084933,0.360107421875,0.8539829853054911,0.9212414483564159
dataset\inputs\input00590.dcm,dataset\bone_masks\mask00590.dcm,5077,256011,705,351,0.9353352984524687,0.8780698720166032,0.002746225400832048,0.06466470154753132,0.40283203125,0.8278167291700637,0.9057983942908118
dataset\inputs\input00591.dcm,dataset\bone_masks\mask00591.dcm,3892,257943,176,133,0.9669565217391304,0.9567354965585054,0.0006818560431428915,0.03304347826086956,0.1178741455078125,0.9264460842656511,0.9618188558013098
dataset\inputs\input00592.dcm,dataset\bone_masks\mask00592.dcm,5171,255951,510,512,0.9099067393982052,0.9102270726984686,0.0019886064547825987,0.09009326060179483,0.389862060546875,0.8349749717422896,0.9100668778599085
dataset\inputs\input00593.dcm,dataset\bone_masks\mask00593.dcm,3623,258014,384,123,0.9671649759743727,0.9041677065136012,0.0014860796136193005,0.03283502402562734,0.1934051513671875,0.8772397094430991,0.9346059589836192
dataset\inputs\input00594.dcm,dataset\bone_masks\mask00594.dcm,3462,258371,128,183,0.9497942386831276,0.9643454038997215,0.00049516632559507,0.050205761316872426,0.1186370849609375,0.9175722236946727,0.9570145127850725
dataset\inputs\input00595.dcm,dataset\bone_masks\mask00595.dcm,3568,258207,120,249,0.9347655226617763,0.9674620390455532,0.00046452751744881487,0.06523447733822374,0.1407623291015625,0.906273812547625,0.9508327781479013
dataset\inputs\input00596.dcm,dataset\bone_masks\mask00596.dcm,5685,255600,590,269,0.9548202888814242,0.9059760956175299,0.0023029782583239003,0.04517971111857575,0.3276824951171875,0.8687347188264057,0.9297571346798593
dataset\inputs\input00597.dcm,dataset\bone_masks\mask00597.dcm,6145,255347,365,287,0.9553793532338308,0.9439324116743472,0.0014273870604429983,0.044620646766169156,0.24871826171875,0.9040753273503016,0.9496213877298717
dataset\inputs\input00598.dcm,dataset\bone_masks\mask00598.dcm,6773,254729,397,245,0.9650897691650043,0.9446304044630405,0.0015560938516654516,0.034910230834995726,0.244903564453125,0.9134187457855699,0.9547504933746829
dataset\inputs\input00599.dcm,dataset\bone_masks\mask00599.dcm,7202,254285,391,266,0.9643813604713444,0.9485052021598841,0.001535284047181517,0.0356186395286556,0.2506256103515625,0.9164015778088817,0.9563773985791116
dataset\inputs\input00600.dcm,dataset\bone_masks\mask00600.dcm,7477,254003,412,252,0.9673955233536033,0.9477753834453035,0.001619401371774463,0.032604476646396686,0.2532958984375,0.9184375383859477,0.95748495325906
dataset\inputs\input00601.dcm,dataset\bone_masks\mask00601.dcm,7619,253912,327,286,0.96382036685642,0.9588472187264032,0.0012861913396449798,0.03617963314358001,0.2338409423828125,0.9255344995140914,0.961327361049776
dataset\inputs\input00602.dcm,dataset\bone_masks\mask00602.dcm,7602,253865,300,377,0.9527509712996616,0.9620349278663629,0.0011803356087580902,0.04724902870033839,0.2582550048828125,0.9182268389902162,0.9573704426673383
dataset\inputs\input00603.dcm,dataset\bone_masks\mask00603.dcm,7574,253674,370,526,0.9350617283950617,0.953423967774421,0.0014564406165861032,0.06493827160493827,0.341796875,0.8942148760330579,0.944153577661431
